Feature,Importance_Mean,Importance_STD
day_of_year,0.08958822236309957,0.008634245168265064
doy_cos,0.07214472130066732,0.011469024395398366
week_of_year,0.07175752010084033,0.00886920891036618
temperature_min_c,0.06535193867222278,0.016077823604839125
temperature_avg_c,0.058371300792781876,0.01101335214201004
week_cos,0.04574185762405545,0.008821765592557674
month,0.04425993470078131,0.006458283249381202
mean_relative_humidity_pct,0.04142016239742485,0.014939655184763838
temperature_max_c,0.02839441813376311,0.008328639510880516
air_pressure_max_hpa,0.02801920584633142,0.006838792974443581
mean_air_pressure_hpa,0.026100635297578244,0.005188966631161549
day_of_month,0.02401503233431006,0.01363769350035425
air_pressure_min_hpa,0.01908909042237572,0.006158362032167513
relative_humidity_min_pct,0.01496499954068029,0.00743080426559033
month_cos,0.009375599161015779,0.0038545421874623654
week_sin,0.005316634895449646,0.00422812367351219
total_precipitation_mm,0.005298675026048328,0.003323743439661693
precipitation_max_mm,0.00499571394126348,0.002127846171962207
wind_speed_min_knots,0.00477989458771555,0.0026158234135492653
pm25_rollstd3,0.0032506700672125357,0.0047207225283742524
dow_sin,0.0027814067716749767,0.002997765579868664
wind_speed_max_knots,0.0024930217719168813,0.00830122439777237
relative_humidity_max_pct,0.0024479393525060457,0.0056355508093817635
dow_cos,0.0011360083607094395,0.0025810747150650723
is_weekend,0.0011200222639407454,0.0007312017679884773
is_weekday,0.0004891711179828117,0.0005325155859219536
doy_sin,0.00046525562891166496,0.004137150128859763
day_of_week_x,0.00019248693875875133,0.004414667294711669
year,0.0,0.0
precipitation_min_mm,-4.4408920985006264e-17,1.93573998765325e-16
season_code,-7.225447042054078e-05,0.0025150691017149095
day_of_week_y,-0.0019723148604080974,0.005149753735993689
mean_wind_speed_knots,-0.003911238843590991,0.006067003182775411
month_sin,-0.005028924665144619,0.001706695186856087
quarter,-0.0059780177796957545,0.0014795703663412377
pm25_lag1,-0.00700707871237447,0.00496654628017018
pm25_lag7,-0.007712797871898625,0.00601899302702138
pm25_rollmean3,-0.008044560715249638,0.004625087883656221
quarter_num,-0.008169484835158513,0.0013212016491011237
wind_direction_deg,-0.013098030708515073,0.00853854215078927
