Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Wrexham",
Latitude,50.840836,,57.481308,,51.522530,,51.494670,,53.042282,,
Longitude,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-3.002829,,
Site Type,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Traffic,,
Zone,South East,,Highland,,Greater London,,Greater London,,North Wales,,
Agglomeration,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,
Local Authority,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2018-01-24,5.542,V ugm-3 (GRAV EMFAB),1.5,V ugm-3 (GRAV EMFAB),8.619,V ugm-3 (GRAV EMFAB),2.917,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB)
2018-01-25,3.458,V ugm-3 (GRAV EMFAB),4.333,V ugm-3 (GRAV EMFAB),10.377,V ugm-3 (GRAV EMFAB),5.333,V ugm-3 (GRAV EMFAB),4.606,V ugm-3 (GRAV EMFAB)
2018-01-26,11.667,V ugm-3 (GRAV EMFAB),5.583,V ugm-3 (GRAV EMFAB),10.792,V ugm-3 (GRAV EMFAB),8.5,V ugm-3 (GRAV EMFAB),5.809,V ugm-3 (GRAV EMFAB)
2018-01-27,9.708,V ugm-3 (GRAV EMFAB),3.667,V ugm-3 (GRAV EMFAB),12.708,V ugm-3 (GRAV EMFAB),7.75,V ugm-3 (GRAV EMFAB),3.112,V ugm-3 (GRAV EMFAB)
2018-01-28,5.75,V ugm-3 (GRAV EMFAB),4.542,V ugm-3 (GRAV EMFAB),7.625,V ugm-3 (GRAV EMFAB),1.708,V ugm-3 (GRAV EMFAB),2.905,V ugm-3 (GRAV EMFAB)
2018-01-29,6.792,V ugm-3 (GRAV EMFAB),2.292,V ugm-3 (GRAV EMFAB),6.75,V ugm-3 (GRAV EMFAB),3.667,V ugm-3 (GRAV EMFAB),3.071,V ugm-3 (GRAV EMFAB)
2018-01-30,6,V ugm-3 (GRAV EMFAB),1.25,V ugm-3 (GRAV EMFAB),15.75,V ugm-3 (GRAV EMFAB),10.417,V ugm-3 (GRAV EMFAB),6.598,V ugm-3 (GRAV EMFAB)
2018-01-31,No data,V ugm-3 (GRAV EMFAB),2.708,V ugm-3 (GRAV EMFAB),9.25,V ugm-3 (GRAV EMFAB),4.083,V ugm-3 (GRAV EMFAB),1.867,V ugm-3 (GRAV EMFAB)
2018-02-01,4.083,V ugm-3 (GRAV EMFAB),2.833,V ugm-3 (GRAV EMFAB),6.583,V ugm-3 (GRAV EMFAB),4.833,V ugm-3 (GRAV EMFAB),4.108,V ugm-3 (GRAV EMFAB)
2018-02-02,6.333,V ugm-3 (GRAV EMFAB),5.958,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),7.458,V ugm-3 (GRAV EMFAB),6.929,V ugm-3 (GRAV EMFAB)
2018-02-03,6,V ugm-3 (GRAV EMFAB),4.75,V ugm-3 (GRAV EMFAB),12.583,V ugm-3 (GRAV EMFAB),8.625,V ugm-3 (GRAV EMFAB),5.145,V ugm-3 (GRAV EMFAB)
2018-02-04,4.333,V ugm-3 (GRAV EMFAB),3.917,V ugm-3 (GRAV EMFAB),3.917,V ugm-3 (GRAV EMFAB),5.667,V ugm-3 (GRAV EMFAB),8.34,V ugm-3 (GRAV EMFAB)
2018-02-05,6,V ugm-3 (GRAV EMFAB),3.583,V ugm-3 (GRAV EMFAB),6.708,V ugm-3 (GRAV EMFAB),7.833,V ugm-3 (GRAV EMFAB),11.369,V ugm-3 (GRAV EMFAB)
2018-02-06,11.25,V ugm-3 (GRAV EMFAB),3.292,V ugm-3 (GRAV EMFAB),13.333,V ugm-3 (GRAV EMFAB),13.25,V ugm-3 (GRAV EMFAB),6.722,V ugm-3 (GRAV EMFAB)
2018-02-07,11.737,V ugm-3 (GRAV EMFAB),3.292,V ugm-3 (GRAV EMFAB),8.458,V ugm-3 (GRAV EMFAB),8.792,V ugm-3 (GRAV EMFAB),5.519,V ugm-3 (GRAV EMFAB)
2018-02-08,7.917,V ugm-3 (GRAV EMFAB),4.167,V ugm-3 (GRAV EMFAB),15.25,V ugm-3 (GRAV EMFAB),8.667,V ugm-3 (GRAV EMFAB),3.568,V ugm-3 (GRAV EMFAB)
