Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Wrexham",
Latitude,50.840836,,57.481308,,51.522530,,51.494670,,53.042282,,
Longitude,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-3.002829,,
Site Type,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Traffic,,
Zone,South East,,Highland,,Greater London,,Greater London,,North Wales,,
Agglomeration,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,
Local Authority,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2018-04-11,29.208,V ugm-3 (GRAV EMFAB),8.774,V ugm-3 (GRAV EMFAB),35.978,V ugm-3 (GRAV EMFAB),,,24.73,V ugm-3 (GRAV EMFAB)
2018-04-12,33.333,V ugm-3 (GRAV EMFAB),11.356,V ugm-3 (GRAV EMFAB),26.631,V ugm-3 (GRAV EMFAB),,,18.714,V ugm-3 (GRAV EMFAB)
2018-04-13,25.708,V ugm-3 (GRAV EMFAB),13.898,V ugm-3 (GRAV EMFAB),22.561,V ugm-3 (GRAV EMFAB),,,18.465,V ugm-3 (GRAV EMFAB)
2018-04-14,29.417,V ugm-3 (GRAV EMFAB),14.367,V ugm-3 (GRAV EMFAB),31.651,V ugm-3 (GRAV EMFAB),,,12.614,V ugm-3 (GRAV EMFAB)
2018-04-15,15.042,V ugm-3 (GRAV EMFAB),10.392,V ugm-3 (GRAV EMFAB),20.689,V ugm-3 (GRAV EMFAB),,,17.427,V ugm-3 (GRAV EMFAB)
2018-04-16,8.667,V ugm-3 (GRAV EMFAB),4.298,V ugm-3 (GRAV EMFAB),11.024,V ugm-3 (GRAV EMFAB),,,4.191,V ugm-3 (GRAV EMFAB)
2018-04-17,8.875,V ugm-3 (GRAV EMFAB),3.876,V ugm-3 (GRAV EMFAB),9.852,V ugm-3 (GRAV EMFAB),,,4.523,V ugm-3 (GRAV EMFAB)
2018-04-18,3.125,V ugm-3 (GRAV EMFAB),6.8,V ugm-3 (GRAV EMFAB),14.915,V ugm-3 (GRAV EMFAB),,,5.56,V ugm-3 (GRAV EMFAB)
2018-04-19,20.811,V ugm-3 (GRAV EMFAB),5.955,V ugm-3 (GRAV EMFAB),19.414,V ugm-3 (GRAV EMFAB),,,10.166,V ugm-3 (GRAV EMFAB)
2018-04-20,18.103,V ugm-3 (GRAV EMFAB),4.091,V ugm-3 (GRAV EMFAB),17.406,V ugm-3 (GRAV EMFAB),,,7.344,V ugm-3 (GRAV EMFAB)
2018-04-21,33.478,V ugm-3 (GRAV EMFAB),4.092,V ugm-3 (GRAV EMFAB),25.063,V ugm-3 (GRAV EMFAB),,,16.846,V ugm-3 (GRAV EMFAB)
2018-04-22,17.853,V ugm-3 (GRAV EMFAB),3.924,V ugm-3 (GRAV EMFAB),15.565,V ugm-3 (GRAV EMFAB),,,7.054,V ugm-3 (GRAV EMFAB)
2018-04-23,3.686,V ugm-3 (GRAV EMFAB),4.137,V ugm-3 (GRAV EMFAB),8.285,V ugm-3 (GRAV EMFAB),,,1.577,V ugm-3 (GRAV EMFAB)
2018-04-24,5.728,V ugm-3 (GRAV EMFAB),2.949,V ugm-3 (GRAV EMFAB),10.669,V ugm-3 (GRAV EMFAB),,,4.108,V ugm-3 (GRAV EMFAB)
2018-04-25,4.77,V ugm-3 (GRAV EMFAB),2.525,V ugm-3 (GRAV EMFAB),8.494,V ugm-3 (GRAV EMFAB),,,2.78,V ugm-3 (GRAV EMFAB)
2018-04-26,4.561,V ugm-3 (GRAV EMFAB),2.611,V ugm-3 (GRAV EMFAB),10.25,V ugm-3 (GRAV EMFAB),,,3.278,V ugm-3 (GRAV EMFAB)
2018-04-27,5.228,V ugm-3 (GRAV EMFAB),3.206,V ugm-3 (GRAV EMFAB),11.875,V ugm-3 (GRAV EMFAB),,,6.224,V ugm-3 (GRAV EMFAB)
2018-04-28,7.645,V ugm-3 (GRAV EMFAB),3.079,V ugm-3 (GRAV EMFAB),6.458,V ugm-3 (GRAV EMFAB),,,7.676,V ugm-3 (GRAV EMFAB)
2018-04-29,4.77,V ugm-3 (GRAV EMFAB),3.633,V ugm-3 (GRAV EMFAB),4.792,V ugm-3 (GRAV EMFAB),,,6.224,V ugm-3 (GRAV EMFAB)
2018-04-30,4.895,V ugm-3 (GRAV EMFAB),3.676,V ugm-3 (GRAV EMFAB),6.625,V ugm-3 (GRAV EMFAB),,,4.481,V ugm-3 (GRAV EMFAB)
2018-05-01,4.895,V ugm-3 (GRAV EMFAB),3.805,V ugm-3 (GRAV EMFAB),10.084,V ugm-3 (GRAV EMFAB),,,2.988,V ugm-3 (GRAV EMFAB)
2018-05-02,4.561,V ugm-3 (GRAV EMFAB),2.7,V ugm-3 (GRAV EMFAB),7.75,V ugm-3 (GRAV EMFAB),,,2.199,V ugm-3 (GRAV EMFAB)
2018-05-03,5.478,V ugm-3 (GRAV EMFAB),3.424,V ugm-3 (GRAV EMFAB),12.594,V ugm-3 (GRAV EMFAB),,,5.768,V ugm-3 (GRAV EMFAB)
2018-05-04,9.333,V ugm-3 (GRAV EMFAB),2.276,V ugm-3 (GRAV EMFAB),13.515,V ugm-3 (GRAV EMFAB),,,5.394,V ugm-3 (GRAV EMFAB)
2018-05-05,12.833,V ugm-3 (GRAV EMFAB),3.639,V ugm-3 (GRAV EMFAB),16.82,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-05-06,18.167,V ugm-3 (GRAV EMFAB),3.3,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,10.456,V ugm-3 (GRAV EMFAB)
2018-05-07,24.292,V ugm-3 (GRAV EMFAB),4.451,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,12.656,V ugm-3 (GRAV EMFAB)
2018-05-08,22.25,V ugm-3 (GRAV EMFAB),6.285,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,8.88,V ugm-3 (GRAV EMFAB)
2018-05-09,7.375,V ugm-3 (GRAV EMFAB),3.368,V ugm-3 (GRAV EMFAB),12.78,V ugm-3 (GRAV EMFAB),,,3.776,V ugm-3 (GRAV EMFAB)
2018-05-10,6.167,V ugm-3 (GRAV EMFAB),5.501,V ugm-3 (GRAV EMFAB),8.577,V ugm-3 (GRAV EMFAB),,,4.357,V ugm-3 (GRAV EMFAB)
2018-05-11,7.208,V ugm-3 (GRAV EMFAB),3.796,V ugm-3 (GRAV EMFAB),12.469,V ugm-3 (GRAV EMFAB),,,5.809,V ugm-3 (GRAV EMFAB)
2018-05-12,5.917,V ugm-3 (GRAV EMFAB),4.181,V ugm-3 (GRAV EMFAB),13.096,V ugm-3 (GRAV EMFAB),,,6.058,V ugm-3 (GRAV EMFAB)
2018-05-13,6.75,V ugm-3 (GRAV EMFAB),4.737,V ugm-3 (GRAV EMFAB),11.13,V ugm-3 (GRAV EMFAB),,,3.942,V ugm-3 (GRAV EMFAB)
2018-05-14,5.583,V ugm-3 (GRAV EMFAB),2.732,V ugm-3 (GRAV EMFAB),5.9,V ugm-3 (GRAV EMFAB),,,3.402,V ugm-3 (GRAV EMFAB)
2018-05-15,10.875,V ugm-3 (GRAV EMFAB),2.69,V ugm-3 (GRAV EMFAB),6.946,V ugm-3 (GRAV EMFAB),,,6.1,V ugm-3 (GRAV EMFAB)
2018-05-16,9.583,V ugm-3 (GRAV EMFAB),1.965,V ugm-3 (GRAV EMFAB),7.699,V ugm-3 (GRAV EMFAB),,,5.394,V ugm-3 (GRAV EMFAB)
2018-05-17,7.292,V ugm-3 (GRAV EMFAB),3.931,V ugm-3 (GRAV EMFAB),6.653,V ugm-3 (GRAV EMFAB),,,7.344,V ugm-3 (GRAV EMFAB)
2018-05-18,7.708,V ugm-3 (GRAV EMFAB),5.428,V ugm-3 (GRAV EMFAB),7.908,V ugm-3 (GRAV EMFAB),,,11.701,V ugm-3 (GRAV EMFAB)
2018-05-19,12.833,V ugm-3 (GRAV EMFAB),5.815,V ugm-3 (GRAV EMFAB),13.766,V ugm-3 (GRAV EMFAB),,,10.581,V ugm-3 (GRAV EMFAB)
2018-05-20,15.292,V ugm-3 (GRAV EMFAB),3.036,V ugm-3 (GRAV EMFAB),15.565,V ugm-3 (GRAV EMFAB),,,8.714,V ugm-3 (GRAV EMFAB)
2018-05-21,11.375,V ugm-3 (GRAV EMFAB),1.497,V ugm-3 (GRAV EMFAB),14.686,V ugm-3 (GRAV EMFAB),,,10.581,V ugm-3 (GRAV EMFAB)
2018-05-22,12.667,V ugm-3 (GRAV EMFAB),3.509,V ugm-3 (GRAV EMFAB),11.088,V ugm-3 (GRAV EMFAB),,,9.544,V ugm-3 (GRAV EMFAB)
2018-05-23,13.5,V ugm-3 (GRAV EMFAB),3.852,V ugm-3 (GRAV EMFAB),12.259,V ugm-3 (GRAV EMFAB),,,15.27,V ugm-3 (GRAV EMFAB)
2018-05-24,23,V ugm-3 (GRAV EMFAB),10.704,V ugm-3 (GRAV EMFAB),16.695,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-05-25,No data,V ugm-3 (GRAV EMFAB),8.609,V ugm-3 (GRAV EMFAB),20.962,V ugm-3 (GRAV EMFAB),,,14.772,V ugm-3 (GRAV EMFAB)
2018-05-26,No data,V ugm-3 (GRAV EMFAB),8.697,V ugm-3 (GRAV EMFAB),19.749,V ugm-3 (GRAV EMFAB),,,13.32,V ugm-3 (GRAV EMFAB)
2018-05-27,No data,V ugm-3 (GRAV EMFAB),8.7,V ugm-3 (GRAV EMFAB),14.77,V ugm-3 (GRAV EMFAB),,,16.68,V ugm-3 (GRAV EMFAB)
2018-05-28,No data,V ugm-3 (GRAV EMFAB),9.945,V ugm-3 (GRAV EMFAB),20.544,V ugm-3 (GRAV EMFAB),,,17.095,V ugm-3 (GRAV EMFAB)
2018-05-29,No data,V ugm-3 (GRAV EMFAB),6.732,V ugm-3 (GRAV EMFAB),16.527,V ugm-3 (GRAV EMFAB),,,12.158,V ugm-3 (GRAV EMFAB)
2018-05-30,No data,V ugm-3 (GRAV EMFAB),7.42,V ugm-3 (GRAV EMFAB),16.151,V ugm-3 (GRAV EMFAB),,,21.162,V ugm-3 (GRAV EMFAB)
2018-05-31,16.208,V ugm-3 (GRAV EMFAB),17.763,V ugm-3 (GRAV EMFAB),21.548,V ugm-3 (GRAV EMFAB),,,18.838,V ugm-3 (GRAV EMFAB)
2018-06-01,10.875,V ugm-3 (GRAV EMFAB),10.772,V ugm-3 (GRAV EMFAB),15.272,V ugm-3 (GRAV EMFAB),,,14.606,V ugm-3 (GRAV EMFAB)
2018-06-02,6.75,V ugm-3 (GRAV EMFAB),10.69,V ugm-3 (GRAV EMFAB),9.582,V ugm-3 (GRAV EMFAB),,,5.809,V ugm-3 (GRAV EMFAB)
2018-06-03,4.917,V ugm-3 (GRAV EMFAB),7.558,V ugm-3 (GRAV EMFAB),9.623,V ugm-3 (GRAV EMFAB),,,4.564,V ugm-3 (GRAV EMFAB)
2018-06-04,9.083,V ugm-3 (GRAV EMFAB),2.706,V ugm-3 (GRAV EMFAB),8.703,V ugm-3 (GRAV EMFAB),,,7.635,V ugm-3 (GRAV EMFAB)
2018-06-05,6.792,V ugm-3 (GRAV EMFAB),4.898,V ugm-3 (GRAV EMFAB),6.862,V ugm-3 (GRAV EMFAB),,,7.427,V ugm-3 (GRAV EMFAB)
2018-06-06,10.417,V ugm-3 (GRAV EMFAB),5.738,V ugm-3 (GRAV EMFAB),9.54,V ugm-3 (GRAV EMFAB),,,8.506,V ugm-3 (GRAV EMFAB)
2018-06-07,12.583,V ugm-3 (GRAV EMFAB),6.901,V ugm-3 (GRAV EMFAB),9.372,V ugm-3 (GRAV EMFAB),,,10.539,V ugm-3 (GRAV EMFAB)
2018-06-08,11.083,V ugm-3 (GRAV EMFAB),3.978,V ugm-3 (GRAV EMFAB),8.787,V ugm-3 (GRAV EMFAB),,,12.407,V ugm-3 (GRAV EMFAB)
2018-06-09,10.417,V ugm-3 (GRAV EMFAB),5.098,V ugm-3 (GRAV EMFAB),9.456,V ugm-3 (GRAV EMFAB),,,16.432,V ugm-3 (GRAV EMFAB)
2018-06-10,8.25,V ugm-3 (GRAV EMFAB),6.562,V ugm-3 (GRAV EMFAB),9.079,V ugm-3 (GRAV EMFAB),,,12.448,V ugm-3 (GRAV EMFAB)
2018-06-11,4.958,V ugm-3 (GRAV EMFAB),5.876,V ugm-3 (GRAV EMFAB),6.862,V ugm-3 (GRAV EMFAB),,,5.145,V ugm-3 (GRAV EMFAB)
2018-06-12,6.375,V ugm-3 (GRAV EMFAB),3.294,V ugm-3 (GRAV EMFAB),6.527,V ugm-3 (GRAV EMFAB),,,5.602,V ugm-3 (GRAV EMFAB)
2018-06-13,3.583,V ugm-3 (GRAV EMFAB),3.424,V ugm-3 (GRAV EMFAB),10.084,V ugm-3 (GRAV EMFAB),,,5.56,V ugm-3 (GRAV EMFAB)
2018-06-14,6.125,V ugm-3 (GRAV EMFAB),2.563,V ugm-3 (GRAV EMFAB),9.089,V ugm-3 (GRAV EMFAB),,,5.104,V ugm-3 (GRAV EMFAB)
2018-06-15,7.5,V ugm-3 (GRAV EMFAB),6.788,V ugm-3 (GRAV EMFAB),9.172,V ugm-3 (GRAV EMFAB),,,4.232,V ugm-3 (GRAV EMFAB)
2018-06-16,4.792,V ugm-3 (GRAV EMFAB),2.996,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,4.066,V ugm-3 (GRAV EMFAB)
2018-06-17,4.125,V ugm-3 (GRAV EMFAB),2.566,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,3.278,V ugm-3 (GRAV EMFAB)
2018-06-18,5.208,V ugm-3 (GRAV EMFAB),3.041,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,3.154,V ugm-3 (GRAV EMFAB)
2018-06-19,4.042,V ugm-3 (GRAV EMFAB),3.826,V ugm-3 (GRAV EMFAB),9.214,V ugm-3 (GRAV EMFAB),,,3.444,V ugm-3 (GRAV EMFAB)
2018-06-20,2.75,V ugm-3 (GRAV EMFAB),1.798,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,3.361,V ugm-3 (GRAV EMFAB)
2018-06-21,4.875,V ugm-3 (GRAV EMFAB),3.051,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,4.896,V ugm-3 (GRAV EMFAB)
2018-06-22,5.917,V ugm-3 (GRAV EMFAB),2.836,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,5.021,V ugm-3 (GRAV EMFAB)
2018-06-23,9.042,V ugm-3 (GRAV EMFAB),2.145,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,5.726,V ugm-3 (GRAV EMFAB)
2018-06-24,9.042,V ugm-3 (GRAV EMFAB),2.967,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,6.017,V ugm-3 (GRAV EMFAB)
2018-06-25,5.792,V ugm-3 (GRAV EMFAB),5.432,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,8.257,V ugm-3 (GRAV EMFAB)
2018-06-26,5.417,V ugm-3 (GRAV EMFAB),6.168,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,9.212,V ugm-3 (GRAV EMFAB)
2018-06-27,5.042,V ugm-3 (GRAV EMFAB),7.165,V ugm-3 (GRAV EMFAB),10.511,V ugm-3 (GRAV EMFAB),,,6.432,V ugm-3 (GRAV EMFAB)
2018-06-28,7.958,V ugm-3 (GRAV EMFAB),8.292,V ugm-3 (GRAV EMFAB),2.092,V ugm-3 (GRAV EMFAB),,,7.925,V ugm-3 (GRAV EMFAB)
2018-06-29,6.167,V ugm-3 (GRAV EMFAB),7.299,V ugm-3 (GRAV EMFAB),8.368,V ugm-3 (GRAV EMFAB),,,8.382,V ugm-3 (GRAV EMFAB)
2018-06-30,8,V ugm-3 (GRAV EMFAB),7.734,V ugm-3 (GRAV EMFAB),7.49,V ugm-3 (GRAV EMFAB),,,6.432,V ugm-3 (GRAV EMFAB)
2018-07-01,10.417,V ugm-3 (GRAV EMFAB),4.619,V ugm-3 (GRAV EMFAB),9.163,V ugm-3 (GRAV EMFAB),,,10.083,V ugm-3 (GRAV EMFAB)
2018-07-02,8.292,V ugm-3 (GRAV EMFAB),3.147,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,9.004,V ugm-3 (GRAV EMFAB)
2018-07-03,6.458,V ugm-3 (GRAV EMFAB),4.448,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,6.722,V ugm-3 (GRAV EMFAB)
2018-07-04,9.917,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,7.012,V ugm-3 (GRAV EMFAB)
2018-07-05,12.667,V ugm-3 (GRAV EMFAB),2.75,V ugm-3 (GRAV EMFAB),16.228,V ugm-3 (GRAV EMFAB),,,8.133,V ugm-3 (GRAV EMFAB)
2018-07-06,17,V ugm-3 (GRAV EMFAB),2,V ugm-3 (GRAV EMFAB),14.31,V ugm-3 (GRAV EMFAB),,,7.054,V ugm-3 (GRAV EMFAB)
2018-07-07,16.583,V ugm-3 (GRAV EMFAB),2.5,V ugm-3 (GRAV EMFAB),13.389,V ugm-3 (GRAV EMFAB),,,6.473,V ugm-3 (GRAV EMFAB)
2018-07-08,9.917,V ugm-3 (GRAV EMFAB),1.333,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,3.61,V ugm-3 (GRAV EMFAB)
2018-07-09,5.25,V ugm-3 (GRAV EMFAB),1.375,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,3.402,V ugm-3 (GRAV EMFAB)
2018-07-10,4.042,V ugm-3 (GRAV EMFAB),1.167,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,4.481,V ugm-3 (GRAV EMFAB)
2018-07-11,7.647,V ugm-3 (GRAV EMFAB),-0.792,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,8.257,V ugm-3 (GRAV EMFAB)
2018-07-12,6.75,V ugm-3 (GRAV EMFAB),1.25,V ugm-3 (GRAV EMFAB),9.916,V ugm-3 (GRAV EMFAB),,,12.905,V ugm-3 (GRAV EMFAB)
2018-07-13,7.875,V ugm-3 (GRAV EMFAB),2.292,V ugm-3 (GRAV EMFAB),10.753,V ugm-3 (GRAV EMFAB),,,11.245,V ugm-3 (GRAV EMFAB)
2018-07-14,8.042,V ugm-3 (GRAV EMFAB),2.75,V ugm-3 (GRAV EMFAB),12.803,V ugm-3 (GRAV EMFAB),,,7.012,V ugm-3 (GRAV EMFAB)
2018-07-15,8.375,V ugm-3 (GRAV EMFAB),1.375,V ugm-3 (GRAV EMFAB),11.046,V ugm-3 (GRAV EMFAB),,,6.266,V ugm-3 (GRAV EMFAB)
2018-07-16,8.458,V ugm-3 (GRAV EMFAB),1.042,V ugm-3 (GRAV EMFAB),11.046,V ugm-3 (GRAV EMFAB),,,5.975,V ugm-3 (GRAV EMFAB)
2018-07-17,5.042,V ugm-3 (GRAV EMFAB),2.167,V ugm-3 (GRAV EMFAB),4.059,V ugm-3 (GRAV EMFAB),,,4.232,V ugm-3 (GRAV EMFAB)
2018-07-18,4.792,V ugm-3 (GRAV EMFAB),2.125,V ugm-3 (GRAV EMFAB),10.293,V ugm-3 (GRAV EMFAB),,,6.141,V ugm-3 (GRAV EMFAB)
2018-07-19,5.75,V ugm-3 (GRAV EMFAB),2.5,V ugm-3 (GRAV EMFAB),10.711,V ugm-3 (GRAV EMFAB),,,4,V ugm-3 (GRAV EMFAB)
2018-07-20,9.542,V ugm-3 (GRAV EMFAB),3.125,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),,,9.378,V ugm-3 (GRAV EMFAB)
2018-07-21,10.458,V ugm-3 (GRAV EMFAB),2.167,V ugm-3 (GRAV EMFAB),13.849,V ugm-3 (GRAV EMFAB),,,7.22,V ugm-3 (GRAV EMFAB)
2018-07-22,7.167,V ugm-3 (GRAV EMFAB),1.042,V ugm-3 (GRAV EMFAB),10.795,V ugm-3 (GRAV EMFAB),,,6.929,V ugm-3 (GRAV EMFAB)
2018-07-23,6.5,V ugm-3 (GRAV EMFAB),1.5,V ugm-3 (GRAV EMFAB),11.757,V ugm-3 (GRAV EMFAB),,,5.602,V ugm-3 (GRAV EMFAB)
2018-07-24,6.833,V ugm-3 (GRAV EMFAB),,,12.803,V ugm-3 (GRAV EMFAB),,,4.647,V ugm-3 (GRAV EMFAB)
2018-07-25,7.292,V ugm-3 (GRAV EMFAB),,,11.766,V ugm-3 (GRAV EMFAB),,,3.734,V ugm-3 (GRAV EMFAB)
2018-07-26,13.75,V ugm-3 (GRAV EMFAB),,,15.95,V ugm-3 (GRAV EMFAB),,,6.639,V ugm-3 (GRAV EMFAB)
2018-07-27,6,V ugm-3 (GRAV EMFAB),,,15.448,V ugm-3 (GRAV EMFAB),,,4.772,V ugm-3 (GRAV EMFAB)
2018-07-28,5.542,V ugm-3 (GRAV EMFAB),,,9.172,V ugm-3 (GRAV EMFAB),,,2.614,V ugm-3 (GRAV EMFAB)
2018-07-29,3.458,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB),,,0.705,V ugm-3 (GRAV EMFAB)
2018-07-30,No data,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB),,,2.448,V ugm-3 (GRAV EMFAB)
2018-07-31,3.667,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB),,,2.78,V ugm-3 (GRAV EMFAB)
2018-08-01,3.208,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB),,,3.568,V ugm-3 (GRAV EMFAB)
2018-08-02,6.375,V ugm-3 (GRAV EMFAB),,,10.469,V ugm-3 (GRAV EMFAB),,,1.12,V ugm-3 (GRAV EMFAB)
2018-08-03,6.708,V ugm-3 (GRAV EMFAB),,,8.502,V ugm-3 (GRAV EMFAB),,,2.116,V ugm-3 (GRAV EMFAB)
2018-08-04,9.125,V ugm-3 (GRAV EMFAB),,,5.322,V ugm-3 (GRAV EMFAB),,,3.071,V ugm-3 (GRAV EMFAB)
2018-08-05,8.792,V ugm-3 (GRAV EMFAB),,,7.331,V ugm-3 (GRAV EMFAB),,,4.025,V ugm-3 (GRAV EMFAB)
2018-08-06,10.375,V ugm-3 (GRAV EMFAB),,,11.431,V ugm-3 (GRAV EMFAB),,,4.73,V ugm-3 (GRAV EMFAB)
2018-08-07,7.75,V ugm-3 (GRAV EMFAB),,,13.23,V ugm-3 (GRAV EMFAB),,,3.195,V ugm-3 (GRAV EMFAB)
2018-08-08,2.917,V ugm-3 (GRAV EMFAB),,,5.983,V ugm-3 (GRAV EMFAB),,,2.739,V ugm-3 (GRAV EMFAB)
2018-08-09,4.75,V ugm-3 (GRAV EMFAB),,,8.375,V ugm-3 (GRAV EMFAB),,,3.9,V ugm-3 (GRAV EMFAB)
2018-08-10,4.542,V ugm-3 (GRAV EMFAB),,,6.458,V ugm-3 (GRAV EMFAB),,,2.614,V ugm-3 (GRAV EMFAB)
2018-08-11,3.25,V ugm-3 (GRAV EMFAB),,,7.197,V ugm-3 (GRAV EMFAB),,,2.573,V ugm-3 (GRAV EMFAB)
2018-08-12,3.917,V ugm-3 (GRAV EMFAB),,,6.527,V ugm-3 (GRAV EMFAB),,,1.867,V ugm-3 (GRAV EMFAB)
2018-08-13,3.667,V ugm-3 (GRAV EMFAB),,,6.109,V ugm-3 (GRAV EMFAB),,,2.656,V ugm-3 (GRAV EMFAB)
2018-08-14,4.083,V ugm-3 (GRAV EMFAB),,,7.113,V ugm-3 (GRAV EMFAB),,,1.909,V ugm-3 (GRAV EMFAB)
2018-08-15,5.083,V ugm-3 (GRAV EMFAB),,,8.912,V ugm-3 (GRAV EMFAB),,,1.286,V ugm-3 (GRAV EMFAB)
2018-08-16,4.375,V ugm-3 (GRAV EMFAB),,,9.582,V ugm-3 (GRAV EMFAB),,,2.199,V ugm-3 (GRAV EMFAB)
2018-08-17,4.667,V ugm-3 (GRAV EMFAB),,,8.201,V ugm-3 (GRAV EMFAB),,,2.863,V ugm-3 (GRAV EMFAB)
2018-08-18,8.292,V ugm-3 (GRAV EMFAB),,,9.833,V ugm-3 (GRAV EMFAB),,,2.78,V ugm-3 (GRAV EMFAB)
2018-08-19,8.25,V ugm-3 (GRAV EMFAB),,,7.197,V ugm-3 (GRAV EMFAB),,,1.784,V ugm-3 (GRAV EMFAB)
2018-08-20,4.042,V ugm-3 (GRAV EMFAB),,,7.531,V ugm-3 (GRAV EMFAB),,,3.071,V ugm-3 (GRAV EMFAB)
2018-08-21,3.333,V ugm-3 (GRAV EMFAB),,,7.95,V ugm-3 (GRAV EMFAB),,,2.573,V ugm-3 (GRAV EMFAB)
2018-08-22,5.458,V ugm-3 (GRAV EMFAB),,,10.669,V ugm-3 (GRAV EMFAB),,,0.954,V ugm-3 (GRAV EMFAB)
2018-08-23,3.792,V ugm-3 (GRAV EMFAB),,,7.49,V ugm-3 (GRAV EMFAB),,,2.905,V ugm-3 (GRAV EMFAB)
2018-08-24,3.333,V ugm-3 (GRAV EMFAB),,,5.875,V ugm-3 (GRAV EMFAB),,,1.784,V ugm-3 (GRAV EMFAB)
2018-08-25,3.417,V ugm-3 (GRAV EMFAB),,,6.067,V ugm-3 (GRAV EMFAB),,,2.365,V ugm-3 (GRAV EMFAB)
2018-08-26,4.375,V ugm-3 (GRAV EMFAB),,,8.201,V ugm-3 (GRAV EMFAB),,,2.282,V ugm-3 (GRAV EMFAB)
2018-08-27,3.792,V ugm-3 (GRAV EMFAB),,,6.778,V ugm-3 (GRAV EMFAB),,,1.826,V ugm-3 (GRAV EMFAB)
2018-08-28,4.333,V ugm-3 (GRAV EMFAB),,,9.331,V ugm-3 (GRAV EMFAB),,,4.232,V ugm-3 (GRAV EMFAB)
2018-08-29,5.75,V ugm-3 (GRAV EMFAB),,,7.322,V ugm-3 (GRAV EMFAB),,,2.697,V ugm-3 (GRAV EMFAB)
2018-08-30,7.875,V ugm-3 (GRAV EMFAB),,,6.611,V ugm-3 (GRAV EMFAB),,,6.017,V ugm-3 (GRAV EMFAB)
2018-08-31,7.333,V ugm-3 (GRAV EMFAB),,,9,V ugm-3 (GRAV EMFAB),,,8.672,V ugm-3 (GRAV EMFAB)
2018-09-01,8.125,V ugm-3 (GRAV EMFAB),,,13.515,V ugm-3 (GRAV EMFAB),,,9.627,V ugm-3 (GRAV EMFAB)
2018-09-02,10.958,V ugm-3 (GRAV EMFAB),,,12.385,V ugm-3 (GRAV EMFAB),,,6.224,V ugm-3 (GRAV EMFAB)
2018-09-03,10.083,V ugm-3 (GRAV EMFAB),,,12.72,V ugm-3 (GRAV EMFAB),,,2.946,V ugm-3 (GRAV EMFAB)
2018-09-04,10.333,V ugm-3 (GRAV EMFAB),,,8.117,V ugm-3 (GRAV EMFAB),,,4.108,V ugm-3 (GRAV EMFAB)
