Horizon_Days,Model,Evaluation,N_origins,N_path_points,MAE,MSE,RMSE,R2,MAPE,MBE,Persistence_MAE,Persistence_MSE,Persistence_RMSE,Persistence_R2,Persistence_MAPE,Persistence_MBE
7,XGBoost,pooled_path,357,2499,4.029560742499717,40.28078658406694,6.346714629165781,0.22444334567759483,49.83530678993852,-0.4194087797726919,4.884233693477391,64.03934596060645,8.00245874469881,-0.23299828801874511,60.238780007593625,0.029971988795518163
14,XGBoost,pooled_path,350,4900,4.192465505580513,43.77888367356142,6.61656131790233,0.14922981478852315,50.92331304867144,-0.5855147618079674,5.334278911564626,73.85381065759637,8.593823983396238,-0.435226641233019,64.54842288866487,0.06290476190476194
30,XGBoost,pooled_path,334,10020,4.275382048907631,46.15214214338109,6.793536791935486,0.07058962034720695,52.273337751243176,-0.6069662360326498,5.306882900864937,72.0056301840763,8.485613129531437,-0.45004710460917785,65.6469954957791,0.37158682634730533
