Daily measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Marylebone Road",
Latitude,51.522530,,
Longitude,-0.154611,,
Site Type,Urban Traffic,,
Zone,Greater London,,
Agglomeration,Greater London Urban Area,,
Local Authority,"Westminster",,
Date,"PM10 particulate matter (Daily measured)",Status
2021-04-12,16.781,V ugm-3 (GRAV EMFAB)
2021-04-13,25.615,V ugm-3 (GRAV EMFAB)
2021-04-14,18.698,V ugm-3 (GRAV EMFAB)
2021-04-15,10.365,V ugm-3 (GRAV EMFAB)
2021-04-16,14.637,V ugm-3 (GRAV EMFAB)
2021-04-17,No data,V ugm-3 (GRAV EMFAB)
2021-04-18,No data,V ugm-3 (GRAV EMFAB)
2021-04-19,No data,V ugm-3 (GRAV EMFAB)
2021-04-20,No data,V ugm-3 (GRAV EMFAB)
2021-04-21,No data,V ugm-3 (GRAV EMFAB)
2021-04-22,24.99,V ugm-3 (GRAV EMFAB)
2021-04-23,21.125,V ugm-3 (GRAV EMFAB)
2021-04-24,19.375,V ugm-3 (GRAV EMFAB)
2021-04-25,13.708,V ugm-3 (GRAV EMFAB)
2021-04-26,16.042,V ugm-3 (GRAV EMFAB)
2021-04-27,28.875,V ugm-3 (GRAV EMFAB)
2021-04-28,No data,V ugm-3 (GRAV EMFAB)
2021-04-29,11,V ugm-3 (GRAV EMFAB)
2021-04-30,16.708,V ugm-3 (GRAV EMFAB)
2021-05-01,No data,V ugm-3 (GRAV EMFAB)
2021-05-02,No data,V ugm-3 (GRAV EMFAB)
2021-05-03,No data,V ugm-3 (GRAV EMFAB)
2021-05-04,No data,V ugm-3 (GRAV EMFAB)
2021-05-05,9.333,V ugm-3 (GRAV EMFAB)
2021-05-06,13.5,V ugm-3 (GRAV EMFAB)
2021-05-07,18.167,V ugm-3 (GRAV EMFAB)
2021-05-08,13.833,V ugm-3 (GRAV EMFAB)
2021-05-09,10.625,V ugm-3 (GRAV EMFAB)
2021-05-10,19.046,V ugm-3 (GRAV EMFAB)
2021-05-11,18.833,V ugm-3 (GRAV EMFAB)
2021-05-12,21.583,V ugm-3 (GRAV EMFAB)
2021-05-13,16.958,V ugm-3 (GRAV EMFAB)
2021-05-14,11.203,V ugm-3 (GRAV EMFAB)
2021-05-15,11.333,V ugm-3 (GRAV EMFAB)
2021-05-16,13,V ugm-3 (GRAV EMFAB)
2021-05-17,10.29,V ugm-3 (GRAV EMFAB)
2021-05-18,16,V ugm-3 (GRAV EMFAB)
2021-05-19,9.042,V ugm-3 (GRAV EMFAB)
2021-05-20,20.229,V ugm-3 (GRAV EMFAB)
2021-05-21,17.188,V ugm-3 (GRAV EMFAB)
