Feature,Importance_Mean
day_of_year,0.03165803778817722
quarter,0.024122764359896465
month,0.023439543912967764
quarter_num,0.014616391894014313
week_of_year,0.011606245484313327
temperature_avg_c,0.005754282957544099
doy_cos,0.0057191064259063396
is_weekend,0.0023886110282189676
day_of_month,0.002244268783209158
dow_sin,0.0021816335989752744
dow_cos,0.0019699902574661365
day_of_week_x,0.0017100787378829807
week_sin,0.001476819831617071
mean_relative_humidity_pct,0.0011515039541869498
season_code,0.001068228356776224
wind_direction_deg,0.0006197492066171151
day_of_week_y,0.00018517204199142157
is_weekday,1.3724072294607481e-05
precipitation_min_mm,0.0
year,0.0
relative_humidity_max_pct,-0.0013918589210266674
month_sin,-0.0022908938396151157
temperature_max_c,-0.004125127325557365
temperature_min_c,-0.004275712515406482
week_cos,-0.006200020328566147
month_cos,-0.007548787861309414
doy_sin,-0.008294437053289805
precipitation_max_mm,-0.008838348752994385
wind_speed_min_knots,-0.010483213465950492
total_precipitation_mm,-0.01199183652232616
relative_humidity_min_pct,-0.012864849762348918
mean_wind_speed_knots,-0.019346556191482733
air_pressure_max_hpa,-0.02201960883846521
air_pressure_min_hpa,-0.02219651964342617
pm25_rollstd3,-0.022657387377813976
wind_speed_max_knots,-0.024650574835334282
mean_air_pressure_hpa,-0.025069604642831145
pm25_lag1,-0.03234398179037434
pm25_lag7,-0.035273253119834536
pm25_rollmean3,-0.0373898069424623
