Feature,Importance_Mean
day_of_year,0.19320483795838728
week_of_year,0.16788252138487625
month,0.12245595297429901
temperature_avg_c,0.08224196655183125
temperature_min_c,0.06903853747306199
temperature_max_c,0.06422365567845567
day_of_month,0.06267694455578399
wind_direction_deg,0.051292849125639695
relative_humidity_max_pct,0.028860213345780927
pm25_lag1,0.020707040572930158
mean_relative_humidity_pct,0.019859434699630807
dow_sin,0.019644521446287033
pm25_rollmean3,0.01963279831506215
is_weekend,0.017116991042870122
is_weekday,0.016398070661477693
relative_humidity_min_pct,0.01576861656202766
pm25_rollstd3,0.014961462925361158
dow_cos,0.01464632652515574
air_pressure_max_hpa,0.014368805374646687
day_of_week_y,0.010024169021311646
day_of_week_x,0.009209129179984288
mean_air_pressure_hpa,0.0020854272366359616
total_precipitation_mm,0.0016654442745620557
precipitation_min_mm,0.0
year,0.0
air_pressure_min_hpa,-0.0005623535979060179
doy_cos,-0.005220010742028158
week_cos,-0.00552284097271416
precipitation_max_mm,-0.009659950033399589
quarter_num,-0.010268806401116493
wind_speed_max_knots,-0.010948128866546725
quarter,-0.014239719002689721
doy_sin,-0.01901523235481184
season_code,-0.01967743409313405
week_sin,-0.024272335496546837
wind_speed_min_knots,-0.02732101791096886
mean_wind_speed_knots,-0.027993975734238674
month_sin,-0.032259551475998016
month_cos,-0.033447638165120974
pm25_lag7,-0.04053407522175956
