Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Brighton Preston Park",,"London Marylebone Road",
Latitude,50.840836,,51.522530,,
Longitude,-0.147572,,-0.154611,,
Site Type,Urban Background,,Urban Traffic,,
Zone,South East,,Greater London,,
Agglomeration,Brighton/Worthing/Littlehampton,,Greater London Urban Area,,
Local Authority,"Brighton",,"Westminster",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2019-11-26,No data,,7.406,V ugm-3 (GRAV EMFAB)
2019-11-27,No data,,8.125,V ugm-3 (GRAV EMFAB)
2019-11-28,No data,,9.25,V ugm-3 (GRAV EMFAB)
2019-11-29,No data,,10.458,V ugm-3 (GRAV EMFAB)
2019-11-30,No data,,16.083,V ugm-3 (GRAV EMFAB)
2019-12-01,No data,,6.958,V ugm-3 (GRAV EMFAB)
2019-12-02,No data,,19.167,V ugm-3 (GRAV EMFAB)
2019-12-03,No data,,20.917,V ugm-3 (GRAV EMFAB)
2019-12-04,No data,,25.917,V ugm-3 (GRAV EMFAB)
2019-12-05,No data,,23.042,V ugm-3 (GRAV EMFAB)
2019-12-06,No data,,7.917,V ugm-3 (GRAV EMFAB)
2019-12-07,No data,,8.368,V ugm-3 (GRAV EMFAB)
2019-12-08,No data,,6.833,V ugm-3 (GRAV EMFAB)
2019-12-09,No data,,6.292,V ugm-3 (GRAV EMFAB)
2019-12-10,No data,,9.167,V ugm-3 (GRAV EMFAB)
2019-12-11,No data,,10.292,V ugm-3 (GRAV EMFAB)
2019-12-12,No data,,9.229,V ugm-3 (GRAV EMFAB)
2019-12-13,No data,,7.688,V ugm-3 (GRAV EMFAB)
2019-12-14,No data,,9.979,V ugm-3 (GRAV EMFAB)
2019-12-15,No data,,6.313,V ugm-3 (GRAV EMFAB)
2019-12-16,No data,,7.971,V ugm-3 (GRAV EMFAB)
2019-12-17,No data,,9.604,V ugm-3 (GRAV EMFAB)
2019-12-18,No data,,8.896,V ugm-3 (GRAV EMFAB)
2019-12-19,No data,,10.313,V ugm-3 (GRAV EMFAB)
2019-12-20,No data,,7.146,V ugm-3 (GRAV EMFAB)
2019-12-21,No data,,5.921,V ugm-3 (GRAV EMFAB)
2019-12-22,No data,,10.021,V ugm-3 (GRAV EMFAB)
2019-12-23,No data,,7.063,V ugm-3 (GRAV EMFAB)
2019-12-24,No data,,8.389,V ugm-3 (GRAV EMFAB)
2019-12-25,No data,,9.75,V ugm-3 (GRAV EMFAB)
2019-12-26,No data,,8.625,V ugm-3 (GRAV EMFAB)
2019-12-27,No data,,11.792,V ugm-3 (GRAV EMFAB)
2019-12-28,No data,,15.458,V ugm-3 (GRAV EMFAB)
2019-12-29,No data,,17,V ugm-3 (GRAV EMFAB)
2019-12-30,No data,,19.917,V ugm-3 (GRAV EMFAB)



End
