Daily measurement data supplied by UK-air on 21/05/2026,,
All Data GMT hour ending,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,
,London Marylebone Road,
Latitude,51.52253,
Longitude,-0.154611,
Site Type,Urban Traffic,
Zone,Greater London,
Agglomeration,Greater London Urban Area,
Local Authority,Westminster,
Date,PM2.5 particulate matter (Daily measured),Status
11/04/2021,3.924,V ugm-3 (GRAV EMFAB)
12/04/2021,6.508,V ugm-3 (GRAV EMFAB)
13/04/2021,12.466,V ugm-3 (GRAV EMFAB)
14/04/2021,8.924,V ugm-3 (GRAV EMFAB)
15/04/2021,4.091,V ugm-3 (GRAV EMFAB)
16/04/2021,6.466,V ugm-3 (GRAV EMFAB)
17/04/2021,5.508,V ugm-3 (GRAV EMFAB)
18/04/2021,7.716,V ugm-3 (GRAV EMFAB)
19/04/2021,13.508,V ugm-3 (GRAV EMFAB)
20/04/2021,30.341,V ugm-3 (GRAV EMFAB)
21/04/2021,30.674,V ugm-3 (GRAV EMFAB)
22/04/2021,6.174,V ugm-3 (GRAV EMFAB)
23/04/2021,8.667,V ugm-3 (GRAV EMFAB)
24/04/2021,9.042,V ugm-3 (GRAV EMFAB)
25/04/2021,7.125,V ugm-3 (GRAV EMFAB)
26/04/2021,5.458,V ugm-3 (GRAV EMFAB)
27/04/2021,12.458,V ugm-3 (GRAV EMFAB)
28/04/2021,13.208,V ugm-3 (GRAV EMFAB)
29/04/2021,6.958,V ugm-3 (GRAV EMFAB)
30/04/2021,9.375,V ugm-3 (GRAV EMFAB)
01/05/2021,10,V ugm-3 (GRAV EMFAB)
02/05/2021,12.458,V ugm-3 (GRAV EMFAB)
03/05/2021,7.333,V ugm-3 (GRAV EMFAB)
04/05/2021,4.125,V ugm-3 (GRAV EMFAB)
05/05/2021,4.958,V ugm-3 (GRAV EMFAB)
06/05/2021,6.083,V ugm-3 (GRAV EMFAB)
07/05/2021,6.792,V ugm-3 (GRAV EMFAB)
08/05/2021,7.292,V ugm-3 (GRAV EMFAB)
09/05/2021,6,V ugm-3 (GRAV EMFAB)
10/05/2021,5.833,V ugm-3 (GRAV EMFAB)
11/05/2021,6.167,V ugm-3 (GRAV EMFAB)
12/05/2021,6.792,V ugm-3 (GRAV EMFAB)
13/05/2021,8.375,V ugm-3 (GRAV EMFAB)
14/05/2021,8.125,V ugm-3 (GRAV EMFAB)
15/05/2021,9.875,V ugm-3 (GRAV EMFAB)
16/05/2021,6.042,V ugm-3 (GRAV EMFAB)
17/05/2021,6.542,V ugm-3 (GRAV EMFAB)
18/05/2021,6.333,V ugm-3 (GRAV EMFAB)
19/05/2021,7.583,V ugm-3 (GRAV EMFAB)
20/05/2021,7.125,V ugm-3 (GRAV EMFAB)
21/05/2021,9.458,V ugm-3 (GRAV EMFAB)
22/05/2021,7.417,V ugm-3 (GRAV EMFAB)
23/05/2021,5.833,V ugm-3 (GRAV EMFAB)
24/05/2021,4.708,V ugm-3 (GRAV EMFAB)
25/05/2021,6.82,V ugm-3 (GRAV EMFAB)
26/05/2021,6.458,V ugm-3 (GRAV EMFAB)
27/05/2021,10.083,V ugm-3 (GRAV EMFAB)
28/05/2021,14.417,V ugm-3 (GRAV EMFAB)
29/05/2021,11.292,V ugm-3 (GRAV EMFAB)
30/05/2021,10.75,V ugm-3 (GRAV EMFAB)
31/05/2021,13.125,V ugm-3 (GRAV EMFAB)
01/06/2021,12.385,V ugm-3 (GRAV EMFAB)
02/06/2021,9.247,V ugm-3 (GRAV EMFAB)
03/06/2021,11.59,V ugm-3 (GRAV EMFAB)
04/06/2021,6.375,V ugm-3 (GRAV EMFAB)
05/06/2021,6.862,V ugm-3 (GRAV EMFAB)
06/06/2021,5.458,V ugm-3 (GRAV EMFAB)
07/06/2021,6.292,V ugm-3 (GRAV EMFAB)
08/06/2021,7.364,V ugm-3 (GRAV EMFAB)
09/06/2021,6.151,V ugm-3 (GRAV EMFAB)
10/06/2021,7.615,V ugm-3 (GRAV EMFAB)
11/06/2021,5.146,V ugm-3 (GRAV EMFAB)
12/06/2021,8.075,V ugm-3 (GRAV EMFAB)
13/06/2021,9.456,V ugm-3 (GRAV EMFAB)
14/06/2021,7.657,V ugm-3 (GRAV EMFAB)
15/06/2021,7.071,V ugm-3 (GRAV EMFAB)
16/06/2021,8.452,V ugm-3 (GRAV EMFAB)
17/06/2021,11.031,V ugm-3 (GRAV EMFAB)
18/06/2021,No data,V ugm-3 (GRAV EMFAB)
19/06/2021,4.667,V ugm-3 (GRAV EMFAB)
20/06/2021,5.146,V ugm-3 (GRAV EMFAB)
21/06/2021,4.958,V ugm-3 (GRAV EMFAB)
22/06/2021,4.792,V ugm-3 (GRAV EMFAB)
23/06/2021,7.208,V ugm-3 (GRAV EMFAB)
24/06/2021,11.13,V ugm-3 (GRAV EMFAB)
25/06/2021,5.732,V ugm-3 (GRAV EMFAB)
26/06/2021,9.456,V ugm-3 (GRAV EMFAB)
27/06/2021,14.5,V ugm-3 (GRAV EMFAB)
28/06/2021,9.042,V ugm-3 (GRAV EMFAB)
29/06/2021,6.417,V ugm-3 (GRAV EMFAB)
30/06/2021,4.917,V ugm-3 (GRAV EMFAB)
