Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Bournemouth",,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Northampton Kingsthorpe",,"Wrexham",
Latitude,50.739570,,50.840836,,57.481308,,51.522530,,51.494670,,52.271886,,53.042282,,
Longitude,-1.826744,,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-0.879898,,-3.002829,,
Site Type,Urban Background,,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Background,,Urban Traffic,,
Zone,South West,,South East,,Highland,,Greater London,,Greater London,,East Midlands,,North Wales,,
Agglomeration,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,
Local Authority,"Bournemouth",,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Northampton",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2017-01-16,4.04,V ugm-3 (GRAV EMFAB),9.04,V ugm-3 (GRAV EMFAB),1.63,V ugm-3 (GRAV EMFAB),15.21,V ugm-3 (GRAV EMFAB),9.28,V ugm-3 (GRAV EMFAB),9.17,V ugm-3 (GRAV EMFAB),3.4,V ugm-3 (GRAV EMFAB)
2017-01-17,18.42,V ugm-3 (GRAV EMFAB),26,V ugm-3 (GRAV EMFAB),1.79,V ugm-3 (GRAV EMFAB),23.81,V ugm-3 (GRAV EMFAB),21.19,V ugm-3 (GRAV EMFAB),13.38,V ugm-3 (GRAV EMFAB),8.67,V ugm-3 (GRAV EMFAB)
2017-01-18,19.25,V ugm-3 (GRAV EMFAB),21.63,V ugm-3 (GRAV EMFAB),1,V ugm-3 (GRAV EMFAB),30.04,V ugm-3 (GRAV EMFAB),20.21,V ugm-3 (GRAV EMFAB),27.38,V ugm-3 (GRAV EMFAB),12.57,V ugm-3 (GRAV EMFAB)
2017-01-19,24.13,V ugm-3 (GRAV EMFAB),13.13,V ugm-3 (GRAV EMFAB),4.13,V ugm-3 (GRAV EMFAB),30.88,V ugm-3 (GRAV EMFAB),29.58,V ugm-3 (GRAV EMFAB),23.42,V ugm-3 (GRAV EMFAB),13.4,V ugm-3 (GRAV EMFAB)
2017-01-20,18.71,V ugm-3 (GRAV EMFAB),17.67,V ugm-3 (GRAV EMFAB),7.58,V ugm-3 (GRAV EMFAB),19.08,V ugm-3 (GRAV EMFAB),17.54,V ugm-3 (GRAV EMFAB),16.13,V ugm-3 (GRAV EMFAB),20.91,V ugm-3 (GRAV EMFAB)
2017-01-21,25.04,V ugm-3 (GRAV EMFAB),32.54,V ugm-3 (GRAV EMFAB),11.17,V ugm-3 (GRAV EMFAB),28.13,V ugm-3 (GRAV EMFAB),26.75,V ugm-3 (GRAV EMFAB),12.17,V ugm-3 (GRAV EMFAB),23.44,V ugm-3 (GRAV EMFAB)
2017-01-22,46.25,V ugm-3 (GRAV EMFAB),53.13,V ugm-3 (GRAV EMFAB),10.63,V ugm-3 (GRAV EMFAB),69.33,V ugm-3 (GRAV EMFAB),65.79,V ugm-3 (GRAV EMFAB),43.75,V ugm-3 (GRAV EMFAB),47.8,V ugm-3 (GRAV EMFAB)
2017-01-23,28.5,V ugm-3 (GRAV EMFAB),51.46,V ugm-3 (GRAV EMFAB),10.04,V ugm-3 (GRAV EMFAB),92.22,V ugm-3 (GRAV EMFAB),79.63,V ugm-3 (GRAV EMFAB),44.79,V ugm-3 (GRAV EMFAB),23.69,V ugm-3 (GRAV EMFAB)
2017-01-24,22.71,V ugm-3 (GRAV EMFAB),34.75,V ugm-3 (GRAV EMFAB),3.33,V ugm-3 (GRAV EMFAB),48.46,V ugm-3 (GRAV EMFAB),43.13,V ugm-3 (GRAV EMFAB),27.21,V ugm-3 (GRAV EMFAB),17.72,V ugm-3 (GRAV EMFAB)
2017-01-25,17.33,V ugm-3 (GRAV EMFAB),21.83,V ugm-3 (GRAV EMFAB),5.75,V ugm-3 (GRAV EMFAB),31.63,V ugm-3 (GRAV EMFAB),23.21,V ugm-3 (GRAV EMFAB),10.67,V ugm-3 (GRAV EMFAB),17.76,V ugm-3 (GRAV EMFAB)
2017-01-26,30.83,V ugm-3 (GRAV EMFAB),37.29,V ugm-3 (GRAV EMFAB),10.13,V ugm-3 (GRAV EMFAB),47.41,V ugm-3 (GRAV EMFAB),44.83,V ugm-3 (GRAV EMFAB),35.04,V ugm-3 (GRAV EMFAB),28.42,V ugm-3 (GRAV EMFAB)
2017-01-27,23.38,V ugm-3 (GRAV EMFAB),25.21,V ugm-3 (GRAV EMFAB),20.21,V ugm-3 (GRAV EMFAB),41.67,V ugm-3 (GRAV EMFAB),37.92,V ugm-3 (GRAV EMFAB),38.38,V ugm-3 (GRAV EMFAB),46.35,V ugm-3 (GRAV EMFAB)
2017-01-28,5.21,V ugm-3 (GRAV EMFAB),6.83,V ugm-3 (GRAV EMFAB),12.04,V ugm-3 (GRAV EMFAB),14.63,V ugm-3 (GRAV EMFAB),7.58,V ugm-3 (GRAV EMFAB),9.13,V ugm-3 (GRAV EMFAB),9.17,V ugm-3 (GRAV EMFAB)
2017-01-29,2,V ugm-3 (GRAV EMFAB),5.25,V ugm-3 (GRAV EMFAB),5.42,V ugm-3 (GRAV EMFAB),9.25,V ugm-3 (GRAV EMFAB),3.75,V ugm-3 (GRAV EMFAB),4.21,V ugm-3 (GRAV EMFAB),10.12,V ugm-3 (GRAV EMFAB)
2017-01-30,3.46,V ugm-3 (GRAV EMFAB),5.88,V ugm-3 (GRAV EMFAB),10.96,V ugm-3 (GRAV EMFAB),11.63,V ugm-3 (GRAV EMFAB),8,V ugm-3 (GRAV EMFAB),6.88,V ugm-3 (GRAV EMFAB),22.7,V ugm-3 (GRAV EMFAB)
2017-01-31,3.75,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),18.29,V ugm-3 (GRAV EMFAB),12.5,V ugm-3 (GRAV EMFAB),10.08,V ugm-3 (GRAV EMFAB),12.24,V ugm-3 (GRAV EMFAB)
2017-02-01,5.5,V ugm-3 (GRAV EMFAB),6.71,V ugm-3 (GRAV EMFAB),5.58,V ugm-3 (GRAV EMFAB),16.25,V ugm-3 (GRAV EMFAB),7.33,V ugm-3 (GRAV EMFAB),3.5,V ugm-3 (GRAV EMFAB),5.31,V ugm-3 (GRAV EMFAB)
2017-02-02,8.92,V ugm-3 (GRAV EMFAB),3.13,V ugm-3 (GRAV EMFAB),5.17,V ugm-3 (GRAV EMFAB),15.04,V ugm-3 (GRAV EMFAB),7.04,V ugm-3 (GRAV EMFAB),5.88,V ugm-3 (GRAV EMFAB),4.77,V ugm-3 (GRAV EMFAB)
2017-02-03,5.29,V ugm-3 (GRAV EMFAB),5.5,V ugm-3 (GRAV EMFAB),5.38,V ugm-3 (GRAV EMFAB),12.25,V ugm-3 (GRAV EMFAB),5.42,V ugm-3 (GRAV EMFAB),5.71,V ugm-3 (GRAV EMFAB),4.15,V ugm-3 (GRAV EMFAB)
