date,status_raw,pm25,status_code,pm25_imputed,iqr_outlier,domain_outlier,outlier,iqr_lower,iqr_upper
2022-05-25,V ugm-3 (GRAV EMFAB),6.47,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-05-26,V ugm-3 (GRAV EMFAB),6.56,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-05-27,V ugm-3 (GRAV EMFAB),5.97,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-05-28,V ugm-3 (GRAV EMFAB),4.56,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-05-29,V ugm-3 (GRAV EMFAB),3.92,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-05-30,V ugm-3 (GRAV EMFAB),8.15,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-05-31,V ugm-3 (GRAV EMFAB),6.95,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-01,V ugm-3 (GRAV EMFAB),7.07,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-02,V ugm-3 (GRAV EMFAB),9.3,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-03,V ugm-3 (GRAV EMFAB),8.33,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-04,V ugm-3 (GRAV EMFAB),6.55,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-05,V ugm-3 (GRAV EMFAB),7.08,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-06,V ugm-3 (GRAV EMFAB),7.17,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-07,V ugm-3 (GRAV EMFAB),6.85,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-08,V ugm-3 (GRAV EMFAB),6.26,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-09,V ugm-3 (GRAV EMFAB),7.55,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-10,V ugm-3 (GRAV EMFAB),8.5,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-11,V ugm-3 (GRAV EMFAB),7.35,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-12,V ugm-3 (GRAV EMFAB),6.73,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-13,V ugm-3 (GRAV EMFAB),6.6,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-14,V ugm-3 (GRAV EMFAB),9.92,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-15,V ugm-3 (GRAV EMFAB),13.67,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-16,V ugm-3 (GRAV EMFAB),13.37,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-17,V ugm-3 (GRAV EMFAB),11.495,V,True,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-18,V ugm-3 (GRAV EMFAB),9.62,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-19,V ugm-3 (GRAV EMFAB),5.44,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-20,V ugm-3 (GRAV EMFAB),6.91,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-21,V ugm-3 (GRAV EMFAB),8.42,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-22,V ugm-3 (GRAV EMFAB),8.45,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-23,V ugm-3 (GRAV EMFAB),11.36,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-24,V ugm-3 (GRAV EMFAB),8.9,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-25,V ugm-3 (GRAV EMFAB),6.02,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-26,V ugm-3 (GRAV EMFAB),5.56,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-27,V ugm-3 (GRAV EMFAB),6.3,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-28,V ugm-3 (GRAV EMFAB),6.68,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-29,V ugm-3 (GRAV EMFAB),6.82,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-06-30,V ugm-3 (GRAV EMFAB),6.49,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-01,V ugm-3 (GRAV EMFAB),6.99,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-02,V ugm-3 (GRAV EMFAB),5.69,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-03,V ugm-3 (GRAV EMFAB),5.24,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-04,V ugm-3 (GRAV EMFAB),6.87,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-05,V ugm-3 (GRAV EMFAB),5.4,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-06,V ugm-3 (GRAV EMFAB),7.01,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-07,V ugm-3 (GRAV EMFAB),5.62,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-08,V ugm-3 (GRAV EMFAB),7.64,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-09,V ugm-3 (GRAV EMFAB),5.88,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-10,V ugm-3 (GRAV EMFAB),8.45,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-11,V ugm-3 (GRAV EMFAB),10.3,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-12,V ugm-3 (GRAV EMFAB),12.04,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-13,V ugm-3 (GRAV EMFAB),8.82,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-14,V ugm-3 (GRAV EMFAB),5.96,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-15,V ugm-3 (GRAV EMFAB),6.63,V,True,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-16,V ugm-3 (GRAV EMFAB),7.3,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-17,V ugm-3 (GRAV EMFAB),8.75,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-18,V ugm-3 (GRAV EMFAB),13.57,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-19,V ugm-3 (GRAV EMFAB),19.36,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-20,V ugm-3 (GRAV EMFAB),17.37,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-21,V ugm-3 (GRAV EMFAB),7.25,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-22,V ugm-3 (GRAV EMFAB),5.82,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-23,V ugm-3 (GRAV EMFAB),6.87,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-24,V ugm-3 (GRAV EMFAB),6.59,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-25,V ugm-3 (GRAV EMFAB),5.14,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-26,V ugm-3 (GRAV EMFAB),5.24,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-27,V ugm-3 (GRAV EMFAB),5.61,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-28,V ugm-3 (GRAV EMFAB),7.18,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-29,V ugm-3 (GRAV EMFAB),7.19,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-30,V ugm-3 (GRAV EMFAB),8.55,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-07-31,V ugm-3 (GRAV EMFAB),4.93,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-01,V ugm-3 (GRAV EMFAB),6.8,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-02,V ugm-3 (GRAV EMFAB),6.84,V,False,False,False,False,-7.4999999999999964,22.599999999999994
2022-08-03,V ugm-3 (GRAV EMFAB),6.57,V,False,False,False,False,-7.4999999999999964,22.599999999999994
