Hourly measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",
Latitude,,51.522530,,
Longitude,,-0.154611,,
Site Type,,Urban Traffic,,
Zone,,Greater London,,
Agglomeration,,Greater London Urban Area,,
Local Authority,,"Westminster",,
Date,Time,"Carbon monoxide",Status
2021-01-02,23:00:00,0.408545,V mgm-3
2021-01-02,24:00:00,0.317757,V mgm-3
2021-01-03,01:00:00,0.181431,V mgm-3
2021-01-03,02:00:00,0.103676,V mgm-3
2021-01-03,03:00:00,0.077756,V mgm-3
2021-01-03,04:00:00,0.080996,V mgm-3
2021-01-03,05:00:00,0.090716,V mgm-3
2021-01-03,06:00:00,0.087476,V mgm-3
2021-01-03,07:00:00,0.090716,V mgm-3
2021-01-03,08:00:00,0.093956,V mgm-3
2021-01-03,09:00:00,0.093956,V mgm-3
2021-01-03,10:00:00,0.087476,V mgm-3
2021-01-03,11:00:00,0.093956,V mgm-3
2021-01-03,12:00:00,0.106914,V mgm-3
2021-01-03,13:00:00,0.110154,V mgm-3
2021-01-03,14:00:00,0.110154,V mgm-3
2021-01-03,15:00:00,0.116634,V mgm-3
2021-01-03,16:00:00,0.158753,V mgm-3
2021-01-03,17:00:00,0.110154,V mgm-3
2021-01-03,18:00:00,0.123114,V mgm-3
2021-01-03,19:00:00,0.132834,V mgm-3
2021-01-03,20:00:00,0.191151,V mgm-3
2021-01-03,21:00:00,0.22031,V mgm-3
2021-01-03,22:00:00,0.158753,V mgm-3
2021-01-03,23:00:00,0.139313,V mgm-3
2021-01-03,24:00:00,0.123114,V mgm-3
2021-01-04,01:00:00,0.09496,V mgm-3
2021-01-04,02:00:00,0.112225,V mgm-3
2021-01-04,03:00:00,0.123016,V mgm-3
2021-01-04,04:00:00,0.119779,V mgm-3
2021-01-04,05:00:00,0.132728,V mgm-3
2021-01-04,06:00:00,0.139202,V mgm-3
2021-01-04,07:00:00,0.12949,V mgm-3
2021-01-04,08:00:00,0.14244,V mgm-3
2021-01-04,09:00:00,0.123016,V mgm-3
2021-01-04,10:00:00,0.106829,V mgm-3
2021-01-04,11:00:00,0.084169,V mgm-3
2021-01-04,12:00:00,0.077694,V mgm-3
2021-01-04,13:00:00,0.090643,V mgm-3
2021-01-04,14:00:00,0.097118,V mgm-3
2021-01-04,15:00:00,0.090643,V mgm-3
2021-01-04,16:00:00,0.123016,V mgm-3
2021-01-04,17:00:00,0.14244,V mgm-3
2021-01-04,18:00:00,0.12949,V mgm-3
2021-01-04,19:00:00,0.155388,V mgm-3
2021-01-04,20:00:00,0.194236,V mgm-3
2021-01-04,21:00:00,0.20071,V mgm-3
2021-01-04,22:00:00,0.210422,V mgm-3
2021-01-04,23:00:00,0.184523,V mgm-3
2021-01-04,24:00:00,0.174812,V mgm-3
2021-01-05,01:00:00,0.116449,V mgm-3
2021-01-05,02:00:00,0.073319,V mgm-3
2021-01-05,03:00:00,0.087336,V mgm-3
2021-01-05,04:00:00,0.084102,V mgm-3
2021-01-05,05:00:00,0.077632,V mgm-3
2021-01-05,06:00:00,0.090571,V mgm-3
2021-01-05,07:00:00,0.100275,V mgm-3
2021-01-05,08:00:00,0.132622,V mgm-3
2021-01-05,09:00:00,0.129387,V mgm-3
2021-01-05,10:00:00,0.122917,V mgm-3
2021-01-05,11:00:00,0.10351,V mgm-3
2021-01-05,12:00:00,0.106744,V mgm-3
2021-01-05,13:00:00,0.119683,V mgm-3
2021-01-05,14:00:00,0.097041,V mgm-3
2021-01-05,15:00:00,0.071163,V mgm-3
2021-01-05,16:00:00,0.074398,V mgm-3
2021-01-05,17:00:00,0.080868,V mgm-3
2021-01-05,18:00:00,0.067929,V mgm-3
2021-01-05,19:00:00,0.113214,V mgm-3
2021-01-05,20:00:00,0.10998,V mgm-3
2021-01-05,21:00:00,0.116449,V mgm-3
2021-01-05,22:00:00,0.122917,V mgm-3
2021-01-05,23:00:00,0.100275,V mgm-3
2021-01-05,24:00:00,0.074398,V mgm-3
2021-01-06,01:00:00,0.116356,V mgm-3
2021-01-06,02:00:00,0.116356,V mgm-3
2021-01-06,03:00:00,0.093731,V mgm-3
2021-01-06,04:00:00,0.093731,V mgm-3
2021-01-06,05:00:00,0.090499,V mgm-3
