Feature,Importance_Mean
day_of_year,0.07696933222642866
week_of_year,0.0724044438464615
quarter_num,0.07144074128775735
month,0.06874826333559625
quarter,0.06825004330156403
temperature_min_c,0.05796639745234433
temperature_avg_c,0.04504328680429914
season_code,0.04053701255491049
wind_speed_max_knots,0.030674091208200416
wind_direction_deg,0.028705790569353518
temperature_max_c,0.024749804020032684
mean_wind_speed_knots,0.020529026522078553
day_of_month,0.009564793231263913
month_sin,0.002368015975172
dow_sin,0.002028799526506475
relative_humidity_min_pct,0.0010606957718302112
is_weekend,0.0007577968308147831
day_of_week_x,0.0004110280346187878
precipitation_min_mm,0.0
year,0.0
day_of_week_y,-0.0007897061126342919
is_weekday,-0.0013063009616960386
precipitation_max_mm,-0.0013834641545527049
dow_cos,-0.002139501575063818
mean_air_pressure_hpa,-0.003091803582967678
wind_speed_min_knots,-0.0038346980621417615
total_precipitation_mm,-0.004431030432817451
relative_humidity_max_pct,-0.0103303351576578
air_pressure_min_hpa,-0.011816003142529397
doy_sin,-0.011994298708458473
week_sin,-0.013214012276108633
air_pressure_max_hpa,-0.017362225289023314
mean_relative_humidity_pct,-0.021564068920557844
pm25_rollstd3,-0.02475138937428678
doy_cos,-0.02788799742565562
month_cos,-0.028815854542563635
week_cos,-0.03823268390078294
pm25_lag7,-0.046390007411758916
pm25_lag1,-0.06525308298737098
pm25_rollmean3,-0.09356677476635955
