Horizon_Days,Model,Evaluation,N_origins,N_path_points,MAE,MSE,RMSE,R2,MAPE,MBE,Persistence_MAE,Persistence_MSE,Persistence_RMSE,Persistence_R2,Persistence_MAPE,Persistence_MBE
7,Random Forest,pooled_path,357,2499,4.061854349021642,39.3147983905427,6.270151384978093,0.24304225188120265,51.357212041522494,-0.23813498632779345,4.884233693477391,64.03934596060645,8.00245874469881,-0.23299828801874511,60.238780007593625,0.029971988795518163
14,Random Forest,pooled_path,350,4900,4.204783634649128,42.26927662449674,6.501482648173164,0.1785665305966726,52.374211987567,-0.3668050875857566,5.334278911564626,73.85381065759637,8.593823983396238,-0.435226641233019,64.54842288866487,0.06290476190476194
30,Random Forest,pooled_path,334,10020,4.333896280117652,45.050182877447966,6.7119433011198755,0.09278084121255736,54.5617680369876,-0.3382717470157333,5.306882900864937,72.0056301840763,8.485613129531437,-0.45004710460917785,65.6469954957791,0.37158682634730533
