Feature,Importance_Mean,Importance_STD
doy_cos,0.0674770782151286,0.017816645547305086
day_of_year,0.041959323535138225,0.013204135541799592
week_cos,0.027837651389672934,0.010088455630026133
relative_humidity_min_pct,0.014091550924509245,0.009842801712611069
day_of_month,0.01401281484059016,0.010199784922347122
mean_relative_humidity_pct,0.012843061234130504,0.0053112643683713165
dow_sin,0.0020659162351468474,0.0038811371341853067
is_weekday,0.0004635563118186248,0.001665592489521711
year,8.881784197001253e-17,3.8714799753065006e-16
precipitation_min_mm,-1.3322676295501878e-16,3.1714313080323685e-16
is_weekend,-9.69037228817804e-05,0.0017336410356850347
month_cos,-0.0003071455694016567,0.0063519930027794574
doy_sin,-0.001032657533892234,0.007678476423181211
wind_speed_min_knots,-0.0013643846616612886,0.004413441556712248
season_code,-0.0015577548209969815,0.001601255089420897
day_of_week_x,-0.0017189187039900577,0.0035819903814699756
month_sin,-0.0019654735217159657,0.0025644368303419777
wind_direction_deg,-0.002212235411420416,0.004734248314065618
dow_cos,-0.00251421756596617,0.0023266916638110154
week_of_year,-0.0026982924725109216,0.00618326635920065
day_of_week_y,-0.003692762653923509,0.0038012375525367206
relative_humidity_max_pct,-0.004338960589868446,0.004730252574766698
air_pressure_max_hpa,-0.005183448811483959,0.007653256604459507
wind_speed_max_knots,-0.00555748415459143,0.003872073576084442
temperature_min_c,-0.00637889741449813,0.006469341156354236
total_precipitation_mm,-0.006441660521815562,0.008005469274318793
mean_wind_speed_knots,-0.007418130570116643,0.007000107807784262
precipitation_max_mm,-0.007721551549848238,0.007913501343577692
pm25_rollstd3,-0.007953796090684851,0.005391769948753171
week_sin,-0.010491068388363622,0.006158883252967054
pm25_lag1,-0.012211204437462219,0.0061030763391129806
quarter_num,-0.015177435061930433,0.004649485818522483
mean_air_pressure_hpa,-0.01849630751295206,0.01350672344618209
quarter,-0.018624825539108426,0.004219075524148161
month,-0.019592909876438868,0.004639124480393983
temperature_avg_c,-0.02052823221780886,0.0077640767184633435
air_pressure_min_hpa,-0.027549575537392366,0.01722928583735885
pm25_rollmean3,-0.029447242726886324,0.007272683141086415
pm25_lag7,-0.03015126982815177,0.009053910861889869
temperature_max_c,-0.05034814126689748,0.008910566952738458
