Daily measurement data supplied by UK-air on 21/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Marylebone Road",
Latitude,51.522530,,
Longitude,-0.154611,,
Site Type,Urban Traffic,,
Zone,Greater London,,
Agglomeration,Greater London Urban Area,,
Local Authority,"Westminster",,
Date,"PM2.5 particulate matter (Daily measured)",Status
2021-04-11,3.924,V ugm-3 (GRAV EMFAB)
2021-04-12,6.508,V ugm-3 (GRAV EMFAB)
2021-04-13,12.466,V ugm-3 (GRAV EMFAB)
2021-04-14,8.924,V ugm-3 (GRAV EMFAB)
2021-04-15,4.091,V ugm-3 (GRAV EMFAB)
2021-04-16,6.466,V ugm-3 (GRAV EMFAB)
2021-04-17,5.508,V ugm-3 (GRAV EMFAB)
2021-04-18,7.716,V ugm-3 (GRAV EMFAB)
2021-04-19,13.508,V ugm-3 (GRAV EMFAB)
2021-04-20,30.341,V ugm-3 (GRAV EMFAB)
2021-04-21,30.674,V ugm-3 (GRAV EMFAB)
2021-04-22,6.174,V ugm-3 (GRAV EMFAB)
2021-04-23,8.667,V ugm-3 (GRAV EMFAB)
2021-04-24,9.042,V ugm-3 (GRAV EMFAB)
2021-04-25,7.125,V ugm-3 (GRAV EMFAB)
2021-04-26,5.458,V ugm-3 (GRAV EMFAB)
2021-04-27,12.458,V ugm-3 (GRAV EMFAB)
2021-04-28,13.208,V ugm-3 (GRAV EMFAB)
2021-04-29,6.958,V ugm-3 (GRAV EMFAB)
2021-04-30,9.375,V ugm-3 (GRAV EMFAB)
2021-05-01,10,V ugm-3 (GRAV EMFAB)
2021-05-02,12.458,V ugm-3 (GRAV EMFAB)
2021-05-03,7.333,V ugm-3 (GRAV EMFAB)
2021-05-04,4.125,V ugm-3 (GRAV EMFAB)
2021-05-05,4.958,V ugm-3 (GRAV EMFAB)
2021-05-06,6.083,V ugm-3 (GRAV EMFAB)
2021-05-07,6.792,V ugm-3 (GRAV EMFAB)
2021-05-08,7.292,V ugm-3 (GRAV EMFAB)
2021-05-09,6,V ugm-3 (GRAV EMFAB)
2021-05-10,5.833,V ugm-3 (GRAV EMFAB)
2021-05-11,6.167,V ugm-3 (GRAV EMFAB)
2021-05-12,6.792,V ugm-3 (GRAV EMFAB)
2021-05-13,8.375,V ugm-3 (GRAV EMFAB)
2021-05-14,8.125,V ugm-3 (GRAV EMFAB)
2021-05-15,9.875,V ugm-3 (GRAV EMFAB)
2021-05-16,6.042,V ugm-3 (GRAV EMFAB)
2021-05-17,6.542,V ugm-3 (GRAV EMFAB)
2021-05-18,6.333,V ugm-3 (GRAV EMFAB)
2021-05-19,7.583,V ugm-3 (GRAV EMFAB)
2021-05-20,7.125,V ugm-3 (GRAV EMFAB)
2021-05-21,9.458,V ugm-3 (GRAV EMFAB)
2021-05-22,7.417,V ugm-3 (GRAV EMFAB)
2021-05-23,5.833,V ugm-3 (GRAV EMFAB)
2021-05-24,4.708,V ugm-3 (GRAV EMFAB)
2021-05-25,6.82,V ugm-3 (GRAV EMFAB)
2021-05-26,6.458,V ugm-3 (GRAV EMFAB)
2021-05-27,10.083,V ugm-3 (GRAV EMFAB)
2021-05-28,14.417,V ugm-3 (GRAV EMFAB)
2021-05-29,11.292,V ugm-3 (GRAV EMFAB)
2021-05-30,10.75,V ugm-3 (GRAV EMFAB)
2021-05-31,13.125,V ugm-3 (GRAV EMFAB)
2021-06-01,12.385,V ugm-3 (GRAV EMFAB)
2021-06-02,9.247,V ugm-3 (GRAV EMFAB)
2021-06-03,11.59,V ugm-3 (GRAV EMFAB)
2021-06-04,6.375,V ugm-3 (GRAV EMFAB)
2021-06-05,6.862,V ugm-3 (GRAV EMFAB)
2021-06-06,5.458,V ugm-3 (GRAV EMFAB)
2021-06-07,6.292,V ugm-3 (GRAV EMFAB)
2021-06-08,7.364,V ugm-3 (GRAV EMFAB)
2021-06-09,6.151,V ugm-3 (GRAV EMFAB)
2021-06-10,7.615,V ugm-3 (GRAV EMFAB)
2021-06-11,5.146,V ugm-3 (GRAV EMFAB)
2021-06-12,8.075,V ugm-3 (GRAV EMFAB)
2021-06-13,9.456,V ugm-3 (GRAV EMFAB)
2021-06-14,7.657,V ugm-3 (GRAV EMFAB)
2021-06-15,7.071,V ugm-3 (GRAV EMFAB)
2021-06-16,8.452,V ugm-3 (GRAV EMFAB)
2021-06-17,11.031,V ugm-3 (GRAV EMFAB)
2021-06-18,No data,V ugm-3 (GRAV EMFAB)
2021-06-19,4.667,V ugm-3 (GRAV EMFAB)
2021-06-20,5.146,V ugm-3 (GRAV EMFAB)
2021-06-21,4.958,V ugm-3 (GRAV EMFAB)
2021-06-22,4.792,V ugm-3 (GRAV EMFAB)
2021-06-23,7.208,V ugm-3 (GRAV EMFAB)
2021-06-24,11.13,V ugm-3 (GRAV EMFAB)
2021-06-25,5.732,V ugm-3 (GRAV EMFAB)
2021-06-26,9.456,V ugm-3 (GRAV EMFAB)
2021-06-27,14.5,V ugm-3 (GRAV EMFAB)
2021-06-28,9.042,V ugm-3 (GRAV EMFAB)
2021-06-29,6.417,V ugm-3 (GRAV EMFAB)
2021-06-30,4.917,V ugm-3 (GRAV EMFAB)
2021-07-01,7.72,V ugm-3 (GRAV EMFAB)
