# Rank within each model (1 = highest permutation MAE increase), then average those ranks.
# Do not average raw importance. Missing model files are skipped. LSTM/GRU have none.
horizon_days,feature,mean_rank,n_models,mean_rank_rf_xgb,rf_rank,rf_importance,xgb_rank,xgb_importance,cnn_lstm_rank,cnn_lstm_importance,transformer_rank,transformer_importance
7,air_pressure_min_hpa,18.75,4,10.0,10.0,0.0316605947233754,10.0,0.0101898486273625,26.0,-0.000562353597906,29.0,-0.0118160031425293
7,relative_humidity_max_pct,18.75,4,19.0,19.0,0.0085584263352827,19.0,0.0005182363606297,9.0,0.0288602133457809,28.0,-0.0103303351576578
7,season_code,19.5,4,18.0,22.0,0.0042205181781333,14.0,0.0017525305467488,34.0,-0.019677434093134,8.0,0.0405370125549104
7,is_weekend,21.0,4,26.5,29.0,0.0012052652684693,24.0,0.0,14.0,0.0171169910428701,17.0,0.0007577968308147
7,quarter_num,21.25,4,26.0,28.0,0.0015086789119594,24.0,0.0,30.0,-0.0102688064011164,3.0,0.0714407412877573
7,dow_cos,21.75,4,22.5,23.0,0.0041724111394159,22.0,0.0001782441339567,18.0,0.0146463265251557,24.0,-0.0021395015750638
7,doy_sin,21.75,4,12.0,13.0,0.0163857007591925,11.0,0.0075052761564067,33.0,-0.0190152323548118,30.0,-0.0119942987084584
7,mean_air_pressure_hpa,23.0,4,22.5,9.0,0.0328762378134035,36.0,-0.0026842883988925,22.0,0.0020854272366359,25.0,-0.0030918035829676
7,quarter,23.75,4,29.0,34.0,-0.0010356581012429,24.0,0.0,32.0,-0.0142397190026897,5.0,0.068250043301564
7,total_precipitation_mm,23.75,4,22.5,24.0,0.004025702497161,21.0,0.0001782919512404,23.0,0.001665444274562,27.0,-0.0044310304328174
7,is_weekday,24.0,4,29.5,35.0,-0.0010371059897343,24.0,0.0,15.0,0.0163980706614776,22.0,-0.001306300961696
7,precipitation_min_mm,24.25,4,27.0,30.0,0.0,24.0,0.0,24.0,0.0,19.0,0.0
7,year,24.25,4,27.0,30.0,0.0,24.0,0.0,24.0,0.0,19.0,0.0
7,pm25_lag1,24.75,4,25.0,16.0,0.0156313989447886,34.0,-0.0016304092647652,10.0,0.0207070405729301,39.0,-0.0652530829873709
7,precipitation_max_mm,25.5,4,25.0,27.0,0.0022689919650035,23.0,0.0001102557035383,29.0,-0.0096599500333995,23.0,-0.0013834641545527
7,day_of_week_y,26.5,4,32.5,33.0,-0.0009009912798581,32.0,-0.0004978344220076,20.0,0.0100241690213116,21.0,-0.0007897061126342
7,day_of_week_x,27.0,4,34.5,38.0,-0.0032711915490871,31.0,-0.0003842942187102,21.0,0.0092091291799842,18.0,0.0004110280346187
7,week_cos,27.75,4,23.0,11.0,0.0239999872134007,35.0,-0.0019733311682525,28.0,-0.0055228409727141,37.0,-0.0382326839007829
7,month_cos,28.25,4,19.0,20.0,0.008118546860633,18.0,0.0005302506668555,39.0,-0.0334476381651209,36.0,-0.0288158545425636
7,pm25_rollstd3,29.0,4,32.5,26.0,0.0026535556780045,39.0,-0.0131080555181212,17.0,0.0149614629253611,34.0,-0.0247513893742867
7,week_sin,29.0,4,25.0,12.0,0.0201103872215087,38.0,-0.0034894300375333,35.0,-0.0242723354965468,31.0,-0.0132140122761086
7,wind_speed_max_knots,29.25,4,38.5,40.0,-0.0109172407390505,37.0,-0.0032385974237567,31.0,-0.0109481288665467,9.0,0.0306740912082004
7,wind_speed_min_knots,29.5,4,28.0,32.0,-5.3063530469632525e-05,24.0,0.0,36.0,-0.0273210179109688,26.0,-0.0038346980621417
7,month_sin,30.5,4,35.0,37.0,-0.0020061391165024,33.0,-0.0009400525346861,38.0,-0.032259551475998,14.0,0.002368015975172
7,pm25_lag7,31.5,4,24.0,36.0,-0.0011163843156111,12.0,0.0055614302338669,40.0,-0.0405340752217595,38.0,-0.0463900074117589
7,mean_wind_speed_knots,32.0,4,39.5,39.0,-0.003343653628965,40.0,-0.0166944414560869,37.0,-0.0279939757342386,12.0,0.0205290265220785
14,doy_cos,5.5,4,3.5,2.0,0.0721447213006673,5.0,0.0219497030121936,7.0,0.0139218304489943,8.0,0.0071628822287586
14,mean_relative_humidity_pct,10.75,4,5.5,8.0,0.0414201623974248,3.0,0.0440989171709336,21.0,-0.0012885770431516,11.0,0.0029540043782878
14,month,11.75,4,6.5,7.0,0.0442599347007813,6.0,0.0176609848976136,1.0,0.0463116930348737,33.0,-0.006714943413014
14,week_of_year,11.75,4,3.5,3.0,0.0717575201008403,4.0,0.0312116333552768,5.0,0.023401980038245,35.0,-0.0073713848764063
14,day_of_month,12.0,4,10.0,12.0,0.02401503233431,8.0,0.0106381291116985,3.0,0.0274863394768511,25.0,-0.0001036125710642
14,temperature_min_c,12.0,4,2.5,4.0,0.0653519386722227,1.0,0.0840510311399186,6.0,0.0153955397361009,37.0,-0.0075118075257627
14,day_of_year,12.75,4,1.5,1.0,0.0895882223630995,2.0,0.0734455492155891,10.0,0.0084289620212136,38.0,-0.007663172505584
14,relative_humidity_min_pct,15.25,4,11.5,14.0,0.0149649995406802,9.0,0.008266736098698,26.0,-0.0056648926385243,12.0,0.0024329113742398
14,temperature_avg_c,16.0,4,10.5,5.0,0.0583713007927818,16.0,0.0005861890247891,4.0,0.0270215290118795,39.0,-0.0083617200551673
14,air_pressure_max_hpa,16.75,4,8.5,10.0,0.0280192058463314,7.0,0.0111553765024456,35.0,-0.0250495149925931,15.0,0.0012289923648598
14,temperature_max_c,17.5,4,13.0,9.0,0.0283944181337631,17.0,0.000451041289738,12.0,0.0072647439104787,32.0,-0.0064796696993951
14,is_weekday,18.25,4,22.5,26.0,0.0004891711179828,19.0,0.0,11.0,0.0075255029588419,17.0,7.69620124314585e-05
14,month_cos,18.5,4,23.0,15.0,0.0093755991610157,31.0,-0.0015775428499497,15.0,0.0028837273897663,13.0,0.0021343082354778
14,mean_air_pressure_hpa,19.0,4,11.5,11.0,0.0261006352975782,12.0,0.0034950515338351,39.0,-0.0301232777223749,14.0,0.001499673582729
14,week_cos,19.0,4,22.0,6.0,0.0457418576240554,38.0,-0.0094201002257211,23.0,-0.0015353448789632,9.0,0.0065207794078592
14,air_pressure_min_hpa,19.75,4,11.5,13.0,0.0190890904223757,10.0,0.005478900010245,40.0,-0.0342343995225773,16.0,0.0006218853464279
14,day_of_week_y,20.5,4,25.0,32.0,-0.001972314860408,18.0,2.441147395528809e-05,13.0,0.0065290583368784,19.0,3.519741933732945e-05
14,total_precipitation_mm,20.5,4,16.0,17.0,0.0052986750260483,15.0,0.0006125290870667,24.0,-0.0022092414407897,26.0,-0.0003618587243598
14,pm25_lag7,20.75,4,35.0,37.0,-0.0077127978718986,33.0,-0.0027859920092993,9.0,0.0103748330790507,4.0,0.0119609041902615
14,is_weekend,21.0,4,26.0,25.0,0.0011200222639407,27.0,-0.0006014070510863,14.0,0.004959935290866,18.0,6.565944329484097e-05
14,pm25_rollmean3,21.0,4,24.5,38.0,-0.0080445607152496,11.0,0.0038378450802392,34.0,-0.0224414250990494,1.0,0.0165094237949432
14,year,21.5,4,24.0,29.0,0.0,19.0,0.0,18.0,0.0,20.0,0.0
14,precipitation_min_mm,21.75,4,24.5,30.0,-4.4408920985006264e-17,19.0,0.0,18.0,0.0,20.0,0.0
14,pm25_rollstd3,22.0,4,26.0,20.0,0.0032506700672125,32.0,-0.0021008319037302,30.0,-0.0099463706564049,6.0,0.0114786496840508
14,wind_speed_min_knots,22.25,4,16.0,19.0,0.0047798945877155,13.0,0.0018543637820651,29.0,-0.0095128266950674,28.0,-0.0010073024614785
14,dow_cos,22.5,4,25.0,24.0,0.0011360083607094,26.0,-4.119671412889936e-05,16.0,0.0026694635344934,24.0,-7.240402939245882e-05
14,relative_humidity_max_pct,22.5,4,26.5,23.0,0.002447939352506,30.0,-0.0015534151077272,27.0,-0.0059007754910407,10.0,0.0030471789807302
14,week_sin,23.0,4,26.0,16.0,0.0053166348954496,36.0,-0.0059301086153305,37.0,-0.0285232774085328,3.0,0.0120077548867225
14,precipitation_max_mm,23.5,4,21.0,18.0,0.0049957139412634,24.0,-1.1948994227850562e-05,25.0,-0.0043685038351397,27.0,-0.0004414408407482
14,pm25_lag1,24.0,4,30.5,36.0,-0.0070070787123744,25.0,-3.312977382123883e-05,33.0,-0.0128068828672947,2.0,0.0126683034211838
14,quarter,24.0,4,27.0,35.0,-0.0059780177796957,19.0,0.0,2.0,0.0352842546776424,40.0,-0.0085576323862923
14,dow_sin,24.5,4,29.0,21.0,0.0027814067716749,37.0,-0.0071867826053074,17.0,0.0019086409691024,23.0,-1.4886812921055537e-05
14,month_sin,24.5,4,34.5,34.0,-0.0050289246651446,35.0,-0.0044576894896371,22.0,-0.0013204170867178,7.0,0.0112171546673005
14,doy_sin,25.5,4,33.0,27.0,0.0004652556289116,39.0,-0.0195244911193848,31.0,-0.0101482063936768,5.0,0.0118013039674469
14,quarter_num,25.5,4,29.0,39.0,-0.0081694848351585,19.0,0.0,8.0,0.0124616475148657,36.0,-0.007422312737539
14,day_of_week_x,26.0,4,31.0,28.0,0.0001924869387587,34.0,-0.0031163507325307,20.0,-0.0006751748700768,22.0,-9.16487750490802e-06
14,mean_wind_speed_knots,27.25,4,23.5,33.0,-0.0039112388435909,14.0,0.0011901490756442,32.0,-0.010996408726827,30.0,-0.0017327914473135
14,wind_speed_max_knots,29.0,4,25.5,22.0,0.0024930217719168,29.0,-0.000713922718593,36.0,-0.0260232624275245,29.0,-0.0016984196870675
14,season_code,32.75,4,29.5,31.0,-7.225447042054078e-05,28.0,-0.0006945127759661,38.0,-0.029724976847548,34.0,-0.0069318939206084
14,wind_direction_deg,34.75,4,40.0,40.0,-0.013098030708515,40.0,-0.0211855446134293,28.0,-0.007242350740773,31.0,-0.003157038522473
30,doy_cos,3.5,4,1.0,1.0,0.0674770782151286,1.0,0.0254741803614679,7.0,0.0057191064259063,5.0,0.0194577381392173
30,day_of_month,9.25,4,3.5,5.0,0.0140128148405901,2.0,0.0249986149879271,9.0,0.0022442687832091,21.0,0.0002458074654754
30,mean_relative_humidity_pct,9.5,4,6.5,6.0,0.0128430612341305,7.0,0.0003163278459788,14.0,0.0011515039541869,11.0,0.0079792434359031
