# Average permutation-importance ranks. Rank 1 = most important.
# Trees: Random_Forest_multistep.ipynb and XG Boost-2_multistep.ipynb only (not Random_Forest.ipynb / XG Boost-2.ipynb).
# RF values: rf_results_path/rf_permutation_importance_{h}d.csv (direct model for lead h; sklearn n_repeats=20).
# XGB values: xgb_results_path/xgboost_feature_importance_across_horizons.csv columns '{h} Day' (same protocol).
# CNN-LSTM / PatchTST: cnn_lstm.ipynb and transformer.ipynb multi-output path models; plot top 15 only; unlisted = 16.
# LSTM/GRU (gru_lstm_multi_horizon_.ipynb) have no permutation run and are omitted.
# Day 1 has no neural ranks. Do not average raw importance across implementations.
horizon_days,feature,mean_rank,n_models,mean_rank_rf_xgb,rf_rank,xgb_rank,cnn_lstm_rank,transformer_rank,rf_importance,xgb_importance
7,pm25_rollstd3,24.25,4,32.5,26,39,16,16,0.002654,-0.013108
7,day_of_week_x,25.25,4,34.5,38,31,16,16,-0.003271,-0.000384
7,month_sin,25.5,4,35.0,37,33,16,16,-0.002006,-0.00094
7,wind_speed_max_knots,26.0,4,38.5,40,37,16,11,-0.010917,-0.003239
7,mean_wind_speed_knots,26.75,4,39.5,39,40,16,12,-0.003344,-0.016694
14,temperature_min_c,6.75,4,2.5,4,1,6,16,0.065352,0.084051
14,week_of_year,7.0,4,3.5,3,4,5,16,0.071758,0.031212
14,doy_cos,7.25,4,3.5,2,5,14,8,0.072145,0.02195
14,month,7.5,4,6.5,7,6,1,16,0.04426,0.017661
14,day_of_year,8.75,4,1.5,1,2,16,16,0.089588,0.073446
14,mean_relative_humidity_pct,9.75,4,5.5,8,3,16,12,0.04142,0.044099
14,day_of_month,10.0,4,10.0,12,8,4,16,0.024015,0.010638
14,temperature_avg_c,10.0,4,10.5,5,16,3,16,0.058371,0.000586
14,air_pressure_max_hpa,11.75,4,8.5,10,7,16,14,0.028019,0.011155
14,relative_humidity_min_pct,12.25,4,11.5,14,9,16,10,0.014965,0.008267
14,temperature_max_c,12.75,4,13.0,9,17,9,16,0.028394,0.000451
14,air_pressure_min_hpa,13.5,4,11.5,13,10,16,15,0.019089,0.005479
14,mean_air_pressure_hpa,13.75,4,11.5,11,12,16,16,0.026101,0.003495
14,total_precipitation_mm,16.0,4,16.0,17,15,16,16,0.005299,0.000613
14,wind_speed_min_knots,16.0,4,16.0,19,13,16,16,0.00478,0.001854
