Model,Horizon,Input_Window,Units,Dropout,Batch_Size,Learning_Rate,Epochs_Used,Best_Validation_Loss
GRU,30,30,32,0.2,16,0.0005,16,0.0227187629789114
GRU,30,30,32,0.2,32,0.001,23,0.024278465658426285
GRU,30,30,32,0.2,32,0.0005,19,0.02522587962448597
GRU,30,30,64,0.1,16,0.001,11,0.022300267592072487
GRU,30,30,64,0.1,16,0.0005,12,0.02358269691467285
GRU,30,30,64,0.1,32,0.001,13,0.022447746247053146
GRU,30,30,64,0.1,32,0.0005,13,0.022075416520237923
GRU,30,30,64,0.2,16,0.001,11,0.02304050326347351
GRU,30,30,64,0.2,16,0.0005,13,0.023264914751052856
GRU,30,30,64,0.2,32,0.001,12,0.02230783738195896
GRU,30,30,64,0.2,32,0.0005,14,0.022644272074103355
