Model,Horizon,Input_Window,MBE,MSE,MAPE (%),R²,RMSE,MAE
LSTM,7,30,-1.3913388961108004,50.193432869437544,47.44272384243134,0.03196752524635016,7.084732378109814,4.321136589917962
LSTM,14,30,-1.6649810010971877,54.56402437876096,47.05034232080824,-0.05570715461003006,7.386746535434999,4.415253663350924
LSTM,30,30,-1.4463413662760214,51.63243199609629,47.41589637108765,-0.035565581373840915,7.185571097421296,4.2819251642749085
GRU,7,30,-0.9694199214878472,42.522522554159764,48.066382749336256,0.17990899630347523,6.520929577457478,4.13606608644005
GRU,14,30,-1.745709634548514,46.50822354320075,42.158922665956425,0.10015683590465763,6.819693801278819,4.04913983357323
GRU,30,30,-1.4442782147343873,51.55063318689006,51.39974024276049,-0.03392498401794386,7.179876961821146,4.4952021533053115
